date,open,high,low,close,volume,symbol
2024-11-13,3877.13,3899.19,3854.87,3877.03,1233902,TCS
2024-11-14,3939.1,3963.2,3786.56,3874.88,1386284,TCS
2024-11-15,3896.56,3987.27,3875.45,3931.36,876664,TCS
2024-11-18,3902.89,3974.25,3857.67,3915.96,1810529,TCS
2024-11-19,4024.34,4095.9,3932.27,4014.09,1466015,TCS
2024-11-20,3917.08,4072.88,3901.42,3987.15,1798224,TCS
2024-11-21,3983.09,4034.99,3971.15,4003.07,1074895,TCS
2024-11-22,3956.32,4013.39,3824.93,3919.16,1453904,TCS
2024-11-25,3968.93,3983.67,3869.73,3926.7,2176485,TCS
2024-11-26,3895.57,3933.7,3868.95,3901.32,768273,TCS
2024-11-27,3965.04,3988.56,3851.61,3920.08,1132093,TCS
2024-11-28,3831.26,3896.71,3782.98,3839.84,711778,TCS
2024-11-29,3748.58,3799.05,3739.24,3769.15,3125682,TCS
2024-12-02,3751.96,3773.41,3665.62,3719.52,1979604,TCS
2024-12-03,3662.94,3807.91,3622.8,3715.36,1087169,TCS
2024-12-04,3865.75,3886.81,3744.12,3815.47,491543,TCS
2024-12-05,3821.79,3963.86,3805.0,3884.43,1112191,TCS
2024-12-06,3889.86,4070.8,3888.86,3979.83,786619,TCS
2024-12-09,4068.78,4081.59,3999.68,4040.63,1772059,TCS
2024-12-10,4035.38,4193.62,4029.06,4111.34,867990,TCS
2024-12-11,3987.01,4071.44,3976.21,4023.82,1263567,TCS
2024-12-12,3991.77,4042.47,3958.86,4000.67,664719,TCS
2024-12-13,4023.4,4066.73,3945.43,4006.08,633462,TCS
2024-12-16,3908.97,3916.66,3864.73,3890.7,468309,TCS
2024-12-17,3843.64,3914.53,3787.43,3850.98,1484850,TCS
2024-12-18,3919.29,3948.61,3868.22,3908.41,1884140,TCS
2024-12-19,3899.8,3921.55,3748.46,3835.01,1620290,TCS
2024-12-20,3684.72,3723.15,3608.8,3665.97,907941,TCS
2024-12-23,3592.19,3713.29,3561.12,3637.21,1368268,TCS
2024-12-24,3615.47,3726.96,3554.49,3640.73,1958912,TCS
2024-12-25,3587.15,3615.85,3569.67,3592.76,717499,TCS
2024-12-26,3527.51,3619.6,3487.41,3553.5,1175009,TCS
2024-12-27,3678.87,3706.55,3542.23,3624.39,2615930,TCS
2024-12-30,3621.28,3640.57,3599.59,3620.08,1182235,TCS
2024-12-31,3660.06,3703.18,3655.27,3679.23,879628,TCS
2025-01-01,3649.17,3683.36,3616.27,3649.82,2057880,TCS
2025-01-02,3725.21,3821.74,3677.2,3749.47,820868,TCS
2025-01-03,3687.76,3745.18,3664.43,3704.8,937850,TCS
2025-01-06,3660.19,3716.56,3627.66,3672.11,2601867,TCS
2025-01-07,3737.67,3800.09,3708.6,3754.35,2010494,TCS
2025-01-08,3781.76,3855.92,3751.01,3803.46,2622331,TCS
2025-01-09,3827.68,3833.91,3762.48,3798.2,374976,TCS
2025-01-10,3801.02,3894.42,3796.01,3845.21,852473,TCS
2025-01-13,3767.64,3891.6,3756.12,3823.86,1456182,TCS
2025-01-14,3857.6,3889.0,3747.37,3818.19,1481523,TCS
2025-01-15,3791.37,3913.91,3738.83,3826.37,690283,TCS
2025-01-16,3797.71,3829.07,3767.8,3798.43,1372059,TCS
2025-01-17,3698.75,3832.54,3687.24,3759.89,973612,TCS
2025-01-20,3838.08,3880.34,3739.04,3809.69,811872,TCS
2025-01-21,3667.36,3801.08,3641.71,3721.39,1133916,TCS
2025-01-22,3713.11,3735.08,3655.19,3695.13,1128166,TCS
2025-01-23,3621.69,3758.81,3602.49,3680.65,2006497,TCS
2025-01-24,3655.55,3714.28,3536.87,3625.58,1365375,TCS
2025-01-27,3608.46,3614.47,3562.7,3588.59,1335560,TCS
2025-01-28,3594.11,3634.36,3588.28,3611.32,935743,TCS
2025-01-29,3643.03,3649.82,3607.76,3628.79,1010365,TCS
2025-01-30,3629.78,3669.62,3590.76,3630.19,1922026,TCS
